Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
1,1,4,0,"Pothole:conf=0.9632,bbox=(331,265,452,322),diameter=89.0px | Pothole:conf=0.8999,bbox=(284,205,402,232),diameter=72.5px | Pothole:conf=0.8188,bbox=(97,188,168,201),diameter=42.0px | Pothole:conf=0.8155,bbox=(192,235,367,281),diameter=110.5px",None
2,2,4,0,"Pothole:conf=0.9643,bbox=(331,265,452,322),diameter=89.0px | Pothole:conf=0.8997,bbox=(284,205,402,232),diameter=72.5px | Pothole:conf=0.832,bbox=(192,235,367,281),diameter=110.5px | Pothole:conf=0.8184,bbox=(97,188,168,201),diameter=42.0px",None
3,3,4,0,"Pothole:conf=0.9573,bbox=(330,265,452,322),diameter=89.5px | Pothole:conf=0.909,bbox=(283,204,401,232),diameter=73.0px | Pothole:conf=0.7879,bbox=(231,303,335,335),diameter=68.0px | Pothole:conf=0.7824,bbox=(96,189,167,201),diameter=41.5px",None
4,4,4,0,"Pothole:conf=0.9566,bbox=(330,265,452,322),diameter=89.5px | Pothole:conf=0.9094,bbox=(283,204,401,232),diameter=73.0px | Pothole:conf=0.7856,bbox=(231,303,335,335),diameter=68.0px | Pothole:conf=0.7855,bbox=(96,189,168,201),diameter=42.0px",None
5,5,5,0,"Pothole:conf=0.9609,bbox=(331,264,452,322),diameter=89.5px | Pothole:conf=0.9269,bbox=(283,204,400,232),diameter=72.5px | Pothole:conf=0.821,bbox=(96,189,168,200),diameter=41.5px | Pothole:conf=0.776,bbox=(192,236,366,279),diameter=108.5px | Pothole:conf=0.7707,bbox=(0,204,120,228),diameter=72.0px",None
6,6,4,0,"Pothole:conf=0.9631,bbox=(331,264,452,322),diameter=89.5px | Pothole:conf=0.9181,bbox=(282,204,402,232),diameter=74.0px | Pothole:conf=0.8358,bbox=(97,189,167,200),diameter=40.5px | Pothole:conf=0.7935,bbox=(192,236,366,279),diameter=108.5px",None
7,7,6,0,"Pothole:conf=0.9567,bbox=(330,265,452,322),diameter=89.5px | Pothole:conf=0.9164,bbox=(283,204,400,232),diameter=72.5px | Pothole:conf=0.8238,bbox=(98,189,167,201),diameter=40.5px | Pothole:conf=0.767,bbox=(230,304,338,335),diameter=69.5px | Pothole:conf=0.7547,bbox=(0,204,113,227),diameter=68.0px | Pothole:conf=0.754,bbox=(516,237,595,278),diameter=60.0px",None
8,8,6,0,"Pothole:conf=0.958,bbox=(331,265,452,322),diameter=89.0px | Pothole:conf=0.9184,bbox=(283,204,400,232),diameter=72.5px | Pothole:conf=0.8114,bbox=(98,189,167,201),diameter=40.5px | Pothole:conf=0.7565,bbox=(0,205,113,227),diameter=67.5px | Pothole:conf=0.7562,bbox=(230,304,338,335),diameter=69.5px | Pothole:conf=0.7534,bbox=(516,237,595,277),diameter=59.5px",None
9,9,5,1,"Pothole:conf=0.9606,bbox=(330,264,452,322),diameter=90.0px | Pothole:conf=0.8958,bbox=(281,204,402,231),diameter=74.0px | Pothole:conf=0.7694,bbox=(0,205,117,227),diameter=69.5px | Pothole:conf=0.7638,bbox=(516,237,595,273),diameter=57.5px | Pothole:conf=0.7614,bbox=(191,236,366,280),diameter=109.5px","truck:conf=0.6246,bbox=(538,71,595,135),motion=Unknown"
10,10,5,1,"Pothole:conf=0.9577,bbox=(330,264,452,322),diameter=90.0px | Pothole:conf=0.8941,bbox=(281,204,402,232),diameter=74.5px | Pothole:conf=0.7637,bbox=(0,205,117,227),diameter=69.5px | Pothole:conf=0.7582,bbox=(516,237,595,273),diameter=57.5px | Pothole:conf=0.7567,bbox=(230,303,338,335),diameter=70.0px","truck:conf=0.7869,bbox=(522,70,595,137),motion=Unknown"
11,11,3,1,"Pothole:conf=0.9385,bbox=(330,265,451,321),diameter=88.5px | Pothole:conf=0.9004,bbox=(284,205,400,231),diameter=71.0px | Pothole:conf=0.8142,bbox=(0,205,79,226),diameter=50.0px","truck:conf=0.8618,bbox=(506,66,595,137),motion=Stationary"
12,12,4,1,"Pothole:conf=0.9382,bbox=(330,265,452,321),diameter=89.0px | Pothole:conf=0.8997,bbox=(284,205,401,231),diameter=71.5px | Pothole:conf=0.8135,bbox=(0,205,79,226),diameter=50.0px | Pothole:conf=0.7518,bbox=(231,303,334,335),diameter=67.5px","truck:conf=0.8473,bbox=(485,64,595,139),motion=Stationary"
13,13,3,1,"Pothole:conf=0.9525,bbox=(330,265,452,322),diameter=89.5px | Pothole:conf=0.9123,bbox=(284,204,400,232),diameter=72.0px | Pothole:conf=0.7953,bbox=(0,205,80,226),diameter=50.5px","truck:conf=0.8647,bbox=(463,60,595,139),motion=Stationary"
