Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
14,14,3,1,"Pothole:conf=0.9537,bbox=(330,265,452,322),diameter=89.5px | Pothole:conf=0.9165,bbox=(284,204,400,232),diameter=72.0px | Pothole:conf=0.7837,bbox=(0,205,81,226),diameter=51.0px","truck:conf=0.871,bbox=(437,55,595,142),motion=Stationary"
15,15,3,1,"Pothole:conf=0.9564,bbox=(330,264,451,321),diameter=89.0px | Pothole:conf=0.9098,bbox=(282,204,399,232),diameter=72.5px | Pothole:conf=0.8474,bbox=(0,205,79,226),diameter=50.0px","truck:conf=0.86,bbox=(405,50,590,143),motion=Moving"
16,16,3,1,"Pothole:conf=0.9566,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.9101,bbox=(282,204,399,232),diameter=72.5px | Pothole:conf=0.8217,bbox=(0,205,80,226),diameter=50.5px","truck:conf=0.8876,bbox=(370,44,574,144),motion=Moving"
17,17,4,1,"Pothole:conf=0.9542,bbox=(330,264,452,322),diameter=90.0px | Pothole:conf=0.9137,bbox=(283,204,400,232),diameter=72.5px | Pothole:conf=0.8425,bbox=(0,205,79,226),diameter=50.0px | Pothole:conf=0.7619,bbox=(192,236,364,280),diameter=108.0px","truck:conf=0.9101,bbox=(327,37,556,146),motion=Moving"
18,18,4,1,"Pothole:conf=0.9582,bbox=(330,264,453,322),diameter=90.5px | Pothole:conf=0.8968,bbox=(284,203,402,232),diameter=73.5px | Pothole:conf=0.8321,bbox=(0,204,79,226),diameter=50.5px | Pothole:conf=0.7782,bbox=(192,236,364,280),diameter=108.0px","truck:conf=0.9304,bbox=(274,28,545,149),motion=Moving"
19,19,5,1,"Pothole:conf=0.9583,bbox=(330,264,453,322),diameter=90.5px | Pothole:conf=0.894,bbox=(274,203,402,234),diameter=79.5px | Pothole:conf=0.7646,bbox=(516,238,595,278),diameter=59.5px | Pothole:conf=0.7571,bbox=(230,303,339,335),diameter=70.5px | Pothole:conf=0.7519,bbox=(0,204,92,227),diameter=57.5px","truck:conf=0.9376,bbox=(210,19,528,151),motion=Moving"
20,20,4,1,"Pothole:conf=0.9602,bbox=(330,264,453,322),diameter=90.5px | Pothole:conf=0.8586,bbox=(273,203,403,235),diameter=81.0px | Pothole:conf=0.7621,bbox=(230,302,338,335),diameter=70.5px | Pothole:conf=0.7517,bbox=(517,238,595,277),diameter=58.5px","truck:conf=0.9285,bbox=(135,7,508,156),motion=Moving"
21,21,3,1,"Pothole:conf=0.959,bbox=(329,263,453,321),diameter=91.0px | Pothole:conf=0.888,bbox=(272,203,402,234),diameter=80.5px | Pothole:conf=0.7584,bbox=(230,303,338,335),diameter=70.0px","truck:conf=0.9003,bbox=(39,0,479,160),motion=Moving"
22,22,3,1,"Pothole:conf=0.9573,bbox=(329,263,453,322),diameter=91.5px | Pothole:conf=0.8908,bbox=(271,203,402,234),diameter=81.0px | Pothole:conf=0.7574,bbox=(230,303,336,335),diameter=69.0px","truck:conf=0.8262,bbox=(1,0,447,156),motion=Moving"
23,23,4,1,"Pothole:conf=0.9553,bbox=(329,263,453,322),diameter=91.5px | Pothole:conf=0.8876,bbox=(272,202,403,234),diameter=81.5px | Pothole:conf=0.7838,bbox=(230,301,334,335),diameter=69.0px | Pothole:conf=0.757,bbox=(516,237,595,272),diameter=57.0px","truck:conf=0.8109,bbox=(0,1,410,165),motion=Moving"
24,24,4,1,"Pothole:conf=0.9621,bbox=(329,263,453,322),diameter=91.5px | Pothole:conf=0.9194,bbox=(273,203,400,233),diameter=78.5px | Pothole:conf=0.7822,bbox=(230,301,335,335),diameter=69.5px | Pothole:conf=0.7677,bbox=(516,237,595,272),diameter=57.0px","truck:conf=0.5772,bbox=(2,0,358,154),motion=Moving"
25,25,5,3,"Pothole:conf=0.973,bbox=(330,264,453,321),diameter=90.0px | Pothole:conf=0.8925,bbox=(275,205,398,232),diameter=75.0px | Pothole:conf=0.7823,bbox=(416,190,441,198),diameter=16.5px | Pothole:conf=0.7712,bbox=(516,237,595,270),diameter=56.0px | Pothole:conf=0.7555,bbox=(230,303,334,335),diameter=68.0px","truck:conf=0.753,bbox=(1,0,308,161),motion=Moving | car:conf=0.6905,bbox=(533,110,582,136),motion=Unknown | car:conf=0.567,bbox=(390,111,433,129),motion=Unknown"
26,26,4,3,"Pothole:conf=0.9717,bbox=(330,264,453,321),diameter=90.0px | Pothole:conf=0.8915,bbox=(279,206,398,232),diameter=72.5px | Pothole:conf=0.7543,bbox=(230,303,336,335),diameter=69.0px | Pothole:conf=0.7526,bbox=(516,237,595,271),diameter=56.5px","truck:conf=0.8362,bbox=(0,1,235,164),motion=Moving | car:conf=0.6244,bbox=(517,110,570,137),motion=Unknown | car:conf=0.602,bbox=(389,111,433,129),motion=Unknown"
27,27,3,3,"Pothole:conf=0.9691,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.9331,bbox=(286,206,400,232),diameter=70.0px | Pothole:conf=0.827,bbox=(191,237,366,280),diameter=109.0px","truck:conf=0.844,bbox=(0,1,145,165),motion=Moving | car:conf=0.6741,bbox=(502,111,556,138),motion=Stationary | car:conf=0.5699,bbox=(388,111,433,129),motion=Stationary"
28,28,4,2,"Pothole:conf=0.9654,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.9288,bbox=(285,205,400,232),diameter=71.0px | Pothole:conf=0.802,bbox=(99,188,171,201),diameter=42.5px | Pothole:conf=0.7998,bbox=(191,237,366,280),diameter=109.0px","car:conf=0.7226,bbox=(481,111,543,138),motion=Moving | car:conf=0.5755,bbox=(388,111,433,129),motion=Stationary"
29,29,5,0,"Pothole:conf=0.963,bbox=(331,264,452,321),diameter=89.0px | Pothole:conf=0.9163,bbox=(285,205,398,232),diameter=70.0px | Pothole:conf=0.8114,bbox=(192,236,366,280),diameter=109.0px | Pothole:conf=0.7814,bbox=(101,189,171,201),diameter=41.0px | Pothole:conf=0.7742,bbox=(0,205,79,226),diameter=50.0px",None
30,30,3,0,"Pothole:conf=0.9665,bbox=(331,264,452,321),diameter=89.0px | Pothole:conf=0.9186,bbox=(285,205,398,232),diameter=70.0px | Pothole:conf=0.8236,bbox=(192,236,366,280),diameter=109.0px",None
31,31,4,1,"Pothole:conf=0.9638,bbox=(330,264,452,322),diameter=90.0px | Pothole:conf=0.9096,bbox=(284,205,398,232),diameter=70.5px | Pothole:conf=0.8227,bbox=(191,235,366,281),diameter=110.5px | Pothole:conf=0.7769,bbox=(0,204,83,227),diameter=53.0px","car:conf=0.8017,bbox=(398,110,484,144),motion=Unknown"
32,32,4,1,"Pothole:conf=0.9652,bbox=(330,264,452,322),diameter=90.0px | Pothole:conf=0.9099,bbox=(284,205,398,232),diameter=70.5px | Pothole:conf=0.8293,bbox=(191,235,366,280),diameter=110.0px | Pothole:conf=0.7903,bbox=(0,204,82,227),diameter=52.5px","car:conf=0.7927,bbox=(360,107,457,145),motion=Unknown"
33,33,5,1,"Pothole:conf=0.9642,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.9272,bbox=(286,205,395,232),diameter=68.0px | Pothole:conf=0.8253,bbox=(191,235,365,280),diameter=109.5px | Pothole:conf=0.7727,bbox=(0,205,80,227),diameter=51.0px | Pothole:conf=0.755,bbox=(102,189,175,201),diameter=42.5px","car:conf=0.833,bbox=(316,105,429,147),motion=Moving"
34,34,5,0,"Pothole:conf=0.9603,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.9224,bbox=(286,205,396,232),diameter=68.5px | Pothole:conf=0.8099,bbox=(191,235,365,280),diameter=109.5px | Pothole:conf=0.7625,bbox=(0,205,80,227),diameter=51.0px | Pothole:conf=0.7513,bbox=(102,189,175,201),diameter=42.5px",None
35,35,5,2,"Pothole:conf=0.9589,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.8996,bbox=(282,205,399,232),diameter=72.0px | Pothole:conf=0.7843,bbox=(192,236,365,279),diameter=108.0px | Pothole:conf=0.7806,bbox=(100,189,172,201),diameter=42.0px | Pothole:conf=0.7696,bbox=(0,205,84,227),diameter=53.0px","car:conf=0.7798,bbox=(193,103,344,153),motion=Unknown | car:conf=0.5602,bbox=(390,110,434,129),motion=Stationary"
36,36,4,1,"Pothole:conf=0.9558,bbox=(330,264,452,321),diameter=89.5px | Pothole:conf=0.8951,bbox=(281,205,399,232),diameter=72.5px | Pothole:conf=0.775,bbox=(192,236,365,279),diameter=108.0px | Pothole:conf=0.7564,bbox=(0,205,84,227),diameter=53.0px","car:conf=0.7567,bbox=(109,101,291,157),motion=Unknown"
37,37,3,2,"Pothole:conf=0.9669,bbox=(331,264,452,321),diameter=89.0px | Pothole:conf=0.9173,bbox=(284,205,397,232),diameter=70.0px | Pothole:conf=0.8127,bbox=(192,235,365,280),diameter=109.0px","car:conf=0.9024,bbox=(3,98,222,164),motion=Moving | car:conf=0.534,bbox=(390,110,434,129),motion=Unknown"
38,38,4,1,"Pothole:conf=0.9689,bbox=(331,264,452,321),diameter=89.0px | Pothole:conf=0.9223,bbox=(284,206,396,232),diameter=69.0px | Pothole:conf=0.8327,bbox=(192,235,365,280),diameter=109.0px | Pothole:conf=0.8131,bbox=(0,199,135,235),diameter=85.5px","car:conf=0.5431,bbox=(390,110,434,129),motion=Unknown"
39,39,4,0,"Pothole:conf=0.9606,bbox=(331,264,452,321),diameter=89.0px | Pothole:conf=0.9063,bbox=(286,206,395,232),diameter=67.5px | Pothole:conf=0.7613,bbox=(230,303,338,335),diameter=70.0px | Pothole:conf=0.7595,bbox=(1,204,121,230),diameter=73.0px",None
