Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
1,1,0,2,None,"elephant:conf=0.9296,bbox=(291,279,489,416),motion=N/A | truck:conf=0.5862,bbox=(517,316,565,370),motion=Unknown"
2,2,0,3,None,"elephant:conf=0.9232,bbox=(294,275,498,416),motion=N/A | truck:conf=0.6013,bbox=(514,313,564,370),motion=Unknown | truck:conf=0.5753,bbox=(588,296,643,377),motion=Unknown"
3,3,0,2,None,"elephant:conf=0.9278,bbox=(303,276,511,417),motion=N/A | truck:conf=0.6287,bbox=(513,314,563,369),motion=Stationary"
4,4,0,2,None,"elephant:conf=0.9437,bbox=(314,275,525,416),motion=N/A | car:conf=0.5776,bbox=(515,311,561,367),motion=Stationary"
5,5,0,1,None,"elephant:conf=0.9432,bbox=(334,274,532,412),motion=N/A"
6,6,0,1,None,"elephant:conf=0.8597,bbox=(354,271,549,410),motion=N/A"
7,7,0,2,None,"elephant:conf=0.8894,bbox=(362,270,559,410),motion=N/A | truck:conf=0.63,bbox=(579,294,633,373),motion=Unknown"
8,8,0,2,None,"elephant:conf=0.9363,bbox=(378,270,572,409),motion=N/A | truck:conf=0.6401,bbox=(578,293,632,371),motion=Stationary"
9,9,0,2,None,"elephant:conf=0.9135,bbox=(383,271,585,409),motion=N/A | truck:conf=0.6687,bbox=(577,293,632,372),motion=Stationary"
10,10,0,2,None,"elephant:conf=0.9173,bbox=(386,271,587,408),motion=N/A | truck:conf=0.6237,bbox=(575,292,631,371),motion=Stationary"
11,11,0,1,None,"elephant:conf=0.9471,bbox=(395,271,594,406),motion=N/A"
12,12,0,1,None,"elephant:conf=0.93,bbox=(408,271,599,406),motion=N/A"
13,13,0,1,None,"elephant:conf=0.9309,bbox=(412,269,614,405),motion=N/A"
14,14,0,1,None,"elephant:conf=0.9255,bbox=(429,269,604,406),motion=N/A"
15,15,0,1,None,"elephant:conf=0.9096,bbox=(440,270,630,406),motion=N/A"
16,16,0,1,None,"elephant:conf=0.9147,bbox=(441,270,651,407),motion=N/A"
17,17,0,1,None,"elephant:conf=0.9366,bbox=(442,271,651,407),motion=N/A"
18,18,0,1,None,"elephant:conf=0.9335,bbox=(449,272,658,408),motion=N/A"
19,19,0,1,None,"elephant:conf=0.9441,bbox=(465,272,661,408),motion=N/A"
20,20,0,1,None,"elephant:conf=0.9431,bbox=(476,273,661,408),motion=N/A"

